ht_in,male,wages,,
,0,,,
61,0,,,
68,1,30000,,
69,1,121993,,
,0,,,
64,0,,,
71,1,80000,,
,0,,,
74,1,38000,,
70,1,50700,,
70,1,56000,,
62,0,26000,,
66,0,29000,,
,1,,,
65,0,25000,,
,1,,,
71,1,40000,,
,0,0,,
69,1,,,
66,1,40000,,
71,1,25000,,
,0,,,
,0,,,
,0,38000,,
62,0,47000,,
62,0,30000,,
71,1,21000,,
66,1,27000,,
66,1,28800,,
68,0,14700,,
71,1,17700,,
,1,48000,,
64,1,30000,,
68,1,121993,,
67,1,35000,,
63,0,,,
,0,,,
67,0,15000,,
,1,,,
,0,,,
74,1,53000,,
,1,24000,,
61,0,30000,,
71,1,50000,,
73,1,33000,,
,1,45000,,
62,0,17000,,
69,0,39000,,
,1,,,
74,1,,,
74,1,15000,,
66,0,8000,,
66,0,,,
,0,5500,,
61,0,5000,,
,0,,,
,0,,,
53,1,33000,,
65,0,,,
61,0,30000,,
61,0,,,
,1,7000,,
73,1,,,
,1,,,
69,1,3500,,
,0,,,
62,0,,,
77,1,,,
75,1,12000,,
70,1,60000,,
71,0,40000,,
,1,,,
67,1,79000,,
75,1,14000,,
69,1,,,
,1,,,
74,1,,,
67,0,70000,,
68,0,56000,,
68,0,55000,,
66,0,,,
65,0,32000,,
67,0,20000,,
61,0,30000,,
71,1,73000,,
,1,38000,,
67,0,,,
67,0,43000,,
75,1,25000,,
61,0,39000,,
,0,,,
77,0,,,
66,1,3000,,
65,1,60000,,
62,0,,,
64,0,,,
70,0,38000,,
68,0,50000,,
68,1,50000,,
67,0,,,
67,0,39300,,
,1,121993,,
75,1,56000,,
66,0,16000,,
,0,,,
67,0,17000,,
68,1,35000,,
65,0,75000,,
73,1,45000,,
66,0,,,
69,1,,,
65,0,23000,,
65,0,41000,,
73,1,40000,,
73,1,22000,,
,0,,,
70,1,60000,,
67,0,35600,,
63,0,2000,,
69,1,54000,,
62,0,53405,,
66,0,30000,,
,1,40000,,
70,1,35000,,
73,1,57675,,
68,1,,,
62,0,7000,,
75,1,121993,,
69,1,40000,,
66,0,45000,,
73,1,10000,,
,0,,,
,1,,,
64,0,75000,,
,0,,,
,1,65000,,
,1,40000,,
,0,12000,,
66,1,10000,,
69,0,,,
,1,57500,,
70,1,,,
65,0,,,
69,0,5000,,
67,0,16000,,
76,1,,,
,0,,,
,0,,,
67,1,,,
,1,35000,,
69,1,25000,,
68,1,40000,,
68,1,48000,,
66,1,,,
66,0,55000,,
70,1,32000,,
63,0,20000,,
,0,,,
70,1,70000,,
64,0,75000,,
68,1,43000,,
64,0,25000,,
63,0,10000,,
61,0,14500,,
65,0,78000,,
65,0,200,,
67,0,47000,,
64,0,39900,,
,0,,,
67,0,,,
72,1,,,
65,0,15000,,
66,1,0,,
,0,,,
,1,,,
74,1,32000,,
63,0,,,
